x	y	
2.0e0	5.9314319e1	
4.0e0	6.338196e1	
6.0e0	5.321196e1	
8.0e0	6.0884999e1	
1.0e1	5.78208e1	
1.2e1	4.572768e1	
1.4e1	5.653068e1	
1.6e1	5.313192e1	
1.8e1	4.6155e1	
2.0e1	4.3215121e1	
2.2e1	5.0886479e1	
2.4e1	4.1474881e1	
2.6e1	4.253196e1	
2.8e1	3.4918921e1	
3.0e1	4.906344e1	
3.2e1	3.554904e1	
3.4e1	4.024968e1	
3.6e1	2.476332e1	
3.8e1	2.1817801e1	
4.0e1	3.061464e1	
4.2e1	2.9613959e1	
4.4e1	2.119008e1	
4.6e1	3.0828238e1	
4.8e1	2.4803639e1	
5.0e1	1.4971082e1	
5.2e1	2.2104e1	
5.4e1	1.273164e1	
5.6e1	2.20842e1	
5.8e1	2.3018039e1	
6.0e1	5.755681e0	
