"X"	"Y"
-20	210.596
-19.75	200.038
-19.5	183.202
-19.25	178.385
-19	170.889
-18.75	151.492
-18.5	135.861
-18.25	170.371
-18	169.4
-17.75	130.797
-17.5	153.257
-17.25	121.634
-17	102.95
-16.75	130.941
-16.5	107.537
-16.25	86.824
-16	74.774
-15.75	104.541
-15.5	69.979
-15.25	67.178
-15	91.678
-14.75	50.355
-14.5	107.813
-14.25	88.979
-14	80.329
-13.75	41.248
-13.5	11.899
-13.25	64.245
-13	29.158
-12.75	27.049
-12.5	37.911
-12.25	68.192
-12	11.826
-11.75	39.19
-11.5	14.731
-11.25	20.888
-11	9.989
-10.75	29.612
-10.5	39.286
-10.25	-9.758
-10	45.055
-9.75	43.147
-9.5	33.117
-9.25	20.444
-9	-8.4
-8.75	-25.648
-8.5	19.903
-8.25	12.297
-8	17.516
-7.75	6.654
-7.5	10.086
-7.25	-8.703
-7	-4.461
-6.75	15.518
-6.5	-20.596
-6.25	34.348
-6	-12.95
-5.75	43.306
-5.5	-5.378
-5.25	-16.242
-5	-9.195
-4.75	-11.472
-4.5	-16.683
-4.25	-0.634
-4	6.706
-3.75	4.056
-3.5	-7.773
-3.25	20.916
-3	11.66
-2.75	-1.419
-2.5	-13.802
-2.25	9.257
-2	48.438
-1.75	20.56
-1.5	6.067
-1.25	-18.962
-1	-8.506
-0.75	21.422
-0.5	-8.989
-0.25	15.899
0	7.808
0.25	-5.713
0.5	-14.614
0.75	20.037
1	-20.471
1.25	-9.603
1.5	12.694
1.75	33.682
2	27.164
2.25	-13.512
2.5	8.13
2.75	3.789
3	-34.874
3.25	-12.091
3.5	18.957
3.75	36.795
4	8.72
4.25	-29.551
4.5	-0.377
4.75	2.486
5	39.369
5.25	-12.231
5.5	24.107
5.75	-7.403
6	17.62
6.25	-19.995
6.5	7.557
6.75	-2.881
7	10.743
7.25	-31.588
7.5	-37.184
7.75	4.028
8	-34.718
8.25	-30.894
8.5	8.832
8.75	13.918
9	-12.108
9.25	-44.639
9.5	-0.555
9.75	-3.74
10	16.498
10.25	-2.976
10.5	-17.762
10.75	-27.004
11	-47.163
11.25	-43.352
11.5	-25.046
11.75	-43.133
12	-28.993
12.25	-32.745
12.5	-64.338
12.75	-42.107
13	-49.567
13.25	-68.775
13.5	-58.202
13.75	-59.918
14	-95.139
14.25	-81.971
14.5	-58.152
14.75	-63.221
15	-100.135
15.25	-88.634
15.5	-121.016
15.75	-137.007
16	-115.73
16.25	-149.206
16.5	-104.17
16.75	-110.348
17	-154.434
17.25	-121.261
17.5	-131.357
17.75	-133.097
18	-133.658
18.25	-160.906
18.5	-134.667
18.75	-162.704
19	-178.737
19.25	-150.637
19.5	-144.18
19.75	-180.9
20	-223.297
