x	y	
2.0e0	4.1886249e1	
4.0e0	3.1502498e1	
6.0e0	4.2749748e1	
8.0e0	4.6556e1	
1.0e1	3.7794998e1	
1.2e1	9.606998e0	
1.4e1	2.612e0	
1.6e1	3.843525e1	
1.8e1	1.8807251e1	
2.0e1	1.9181e1	
2.2e1	4.9910251e1	
2.4e1	2.48625e1	
2.6e1	4.601749e0	
2.8e1	3.8540749e1	
3.0e1	2.526825e1	
3.2e1	2.413025e1	
3.4e1	2.049025e1	
3.6e1	1.1463249e1	
3.8e1	2.5208249e1	
4.0e1	2.6034999e1	
4.2e1	1.64445e1	
4.4e1	6.29625e0	
4.6e1	4.1085751e1	
4.8e1	8.51775e0	
5.0e1	4.313e1	
5.2e1	5.321999e0	
5.4e1	1.7194249e1	
5.6e1	3.933725e1	
5.8e1	2.245375e1	
6.0e1	3.76815e1	
