x	y	
2.0e0	1.088845e1	
4.0e0	1.019995e1	
6.0e0	2.55367e1	
8.0e0	9.4291e0	
1.0e1	1.3253201e1	
1.2e1	1.21096e1	
1.4e1	4.792899e0	
1.6e1	2.3016249e1	
1.8e1	5.910251e0	
2.0e1	1.787845e1	
2.2e1	1.1002602e1	
2.4e1	2.460445e1	
2.6e1	3.597175e1	
2.8e1	3.20053e1	
3.0e1	3.05461e1	
3.2e1	1.916725e1	
3.4e1	3.22795e1	
3.6e1	3.95647e1	
3.8e1	3.35707e1	
4.0e1	3.04837e1	
4.2e1	2.273995e1	
4.4e1	4.77295e1	
4.6e1	4.46836e1	
4.8e1	5.34637e1	
5.0e1	4.6022499e1	
5.2e1	5.279995e1	
5.4e1	4.9136949e1	
5.6e1	4.441915e1	
5.8e1	5.343475e1	
6.0e1	5.36596e1	
